date,hour,demand
2021-03-01,0,50.9552011781893
2021-03-01,1,39.0183124683576
2021-03-01,2,37.6958829724788
2021-03-01,3,19.0260769662778
2021-03-01,5,20.0417511270396
2021-03-01,6,41.1631844178377
2021-03-01,7,58.0009123005244
2021-03-01,8,67.3859347776696
2021-03-01,9,72.9594618310764
2021-03-01,10,78.3035262322305
2021-03-01,11,86.5315738627531
2021-03-01,12,97.316318518641
2021-03-01,13,99.6991070075623
2021-03-01,14,98.9237647825813
2021-03-01,15,101.70871676203
2021-03-01,16,100.351264019229
2021-03-01,17,100.120593668806
2021-03-01,18,93.4033764486436
2021-03-01,19,84.6366954344115
2021-03-01,20,73.347132943567
2021-03-01,21,70.3653261624485
2021-03-01,22,64.2869812740851
2021-03-01,23,55.4055689337267
2021-03-02,0,50.3731562608069
2021-03-02,1,38.57261880153
2021-03-02,2,37.2652949935667
2021-03-02,4,19.6659705614337
2021-03-02,6,40.6929905667744
2021-03-02,7,57.3383864851516
2021-03-02,8,66.616206861117
2021-03-02,9,72.1260693028979
2021-03-02,10,77.4090901706945
2021-03-02,11,85.5431514525699
2021-03-02,12,96.2047054298404
2021-03-02,13,98.5602760902161
2021-03-02,14,97.7937903507528
2021-03-02,15,100.546930717112
2021-03-02,16,99.2049837215405
2021-03-02,17,98.9769482445351
2021-03-02,18,92.3364596418945
2021-03-02,19,83.6699176126662
2021-03-02,20,72.5093121726297
2021-03-02,21,69.5615656138523
2021-03-02,22,63.5526517093055
2021-03-02,23,54.772688893085
2021-03-03,0,50.3485128681031
2021-03-03,2,37.2470641863884
2021-03-03,3,18.7995466373742
2021-03-03,4,19.6563496388745
2021-03-03,5,19.8031278689366
2021-03-03,6,40.6730828734459
2021-03-03,7,57.3103355850285
2021-03-03,8,66.5836170956947
2021-03-03,9,72.0907840203793
2021-03-03,10,77.3712203457812
2021-03-03,11,85.501302308485
2021-03-03,12,96.1576404747759
2021-03-03,13,98.5120587504863
2021-03-03,14,97.7459479886991
2021-03-03,15,100.497741472626
2021-03-03,16,99.1564509800269
2021-03-03,17,98.9285270618006
2021-03-03,18,92.2912870975327
2021-03-03,19,83.6289848859863
2021-03-03,20,72.4738394012729
2021-03-03,21,69.5275349295402
2021-03-03,22,63.5215606864334
2021-03-03,23,54.7458931752457
2021-03-04,0,51.6530471087796
2021-03-04,1,39.5526793228682
2021-03-04,2,38.2121387800137
2021-03-04,4,20.1656473259342
2021-03-04,6,41.7269259019636
2021-03-04,7,58.7952512430379
2021-03-04,8,68.3088042645188
2021-03-04,9,73.9586623515262
2021-03-04,10,79.3759152301846
2021-03-04,11,87.7166483064105
2021-03-04,12,98.6490930988212
2021-03-04,13,101.064514551837
2021-03-04,14,100.278553795204
2021-03-04,15,103.1016464818
2021-03-04,16,101.725603038724
2021-03-04,17,101.491773592436
2021-03-04,18,94.6825621774986
2021-03-04,19,85.7958189806216
2021-03-04,20,74.3516427298426
2021-03-04,21,71.328999259242
2021-03-04,22,65.1674097138664
2021-03-04,23,56.1643639128149
2021-03-05,0,55.9764294928775
2021-03-05,1,42.8632556896068
2021-03-05,2,41.4105113235018
2021-03-05,3,20.9009449713403
2021-03-05,4,21.8535207292064
2021-03-05,5,22.0167057127964
2021-03-05,6,45.2194876477826
2021-03-05,7,63.7164392023355
2021-03-05,8,74.026280726538
2021-03-05,9,80.1490343791173
2021-03-05,10,86.0197136668019
2021-03-05,11,95.0585697090607
2021-03-05,12,106.906064859122
2021-03-05,13,109.523658132478
2021-03-05,14,108.67191212057
2021-03-05,15,111.731298886084
2021-03-05,16,110.240080011653
2021-03-05,17,109.986678939575
2021-03-05,18,102.607533584072
2021-03-05,19,92.9769661379018
2021-03-05,20,80.5749073850715
2021-03-05,21,77.299267348621
2021-03-05,22,70.6219500932728
2021-03-05,23,60.8653454646555
2021-03-06,0,64.2287405974548
2021-03-06,1,49.1823604290522
2021-03-06,2,47.5154455884613
2021-03-06,4,25.0752705517936
2021-03-06,7,73.1098193006582
2021-03-06,8,84.9395866305506
2021-03-06,9,91.9649857075617
2021-03-06,10,98.7011484195389
2021-03-06,11,109.072555550997
2021-03-06,12,122.666664707597
2021-03-06,13,125.670156013976
2021-03-06,14,124.692841559493
2021-03-06,15,128.203257653011
2021-03-06,16,126.492196209336
2021-03-06,17,126.201437547644
2021-03-06,18,117.734423535437
2021-03-06,19,106.684072094478
2021-03-06,20,92.4536429348035
2021-03-06,21,88.6950924860189
2021-03-06,22,81.0333734059329
2021-03-06,23,69.8384037824573
2021-03-07,0,59.4093985235627
2021-03-07,1,45.4920090893834
2021-03-07,2,43.9501696083609
2021-03-07,3,22.1827755105281
2021-03-07,4,23.1937716268516
2021-03-07,5,23.366964554857
2021-03-07,7,67.624093986837
2021-03-07,8,78.5662260480478
2021-03-07,9,85.0644810297088
2021-03-07,10,91.2952022201422
2021-03-07,11,100.888400744532
2021-03-07,12,113.462488932231
2021-03-07,13,116.240616143242
2021-03-07,14,115.33663354341
2021-03-07,15,118.583648925362
2021-03-07,16,117.000975339363
2021-03-07,17,116.73203347555
2021-03-07,18,108.900333755507
2021-03-07,19,98.6791348580252
2021-03-07,20,85.5164723296251
2021-03-07,21,82.039941116251
2021-03-07,22,74.9531117938891
2021-03-07,23,64.5981460007938
2021-03-08,0,51.0919896771925
2021-03-08,1,39.123056562636
2021-03-08,2,37.7970770239431
2021-03-08,3,19.0771521941242
2021-03-08,4,19.9466072706369
2021-03-08,6,41.2736863897761
2021-03-08,7,58.1566149089128
2021-03-08,8,67.5668313428686
2021-03-08,9,73.155320448866
2021-03-08,10,78.5137309134465
2021-03-08,11,86.7638666185736
2021-03-08,12,97.5775627651728
2021-03-08,13,99.9667478152559
2021-03-08,14,99.18932419531
2021-03-08,15,101.981752337982
2021-03-08,16,100.620655532967
2021-03-08,17,100.389365951333
2021-03-08,18,93.6541164589039
2021-03-08,19,84.8639014165559
2021-03-08,20,73.544032258839
2021-03-08,21,70.5542208606358
2021-03-08,22,64.4595587435209
2021-03-08,23,55.5543043804646
2021-03-09,0,50.2359294191554
2021-03-09,1,38.4675390518125
