,date,Hour,demand
0,2021-03-01,0.0,46.47476272549741
1,2021-03-01,1.0,35.58747236763775
2,2021-03-01,2.0,34.38132273774532
3,2021-03-01,3.0,17.353133579291878
4,2021-03-01,5.0,18.279500555309795
5,2021-03-01,6.0,37.54374793173724
6,2021-03-01,7.0,52.900951712522335
7,2021-03-01,8.0,61.46075881196867
8,2021-03-01,9.0,66.54421136169773
9,2021-03-01,10.0,71.41837767427664
10,2021-03-01,11.0,78.92294153588126
11,2021-03-01,12.0,88.75939468194406
12,2021-03-01,13.0,90.93266702877305
13,2021-03-01,14.0,90.22549984850735
14,2021-03-01,15.0,92.76557386360494
15,2021-03-01,16.0,91.5274805448844
16,2021-03-01,17.0,91.31709280122288
17,2021-03-01,18.0,85.19051358527628
18,2021-03-01,19.0,77.19467781962425
19,2021-03-01,20.0,66.89779495183066
20,2021-03-01,21.0,64.1781753753883
21,2021-03-01,22.0,58.634293103928584
22,2021-03-01,23.0,50.533814219701554
23,2021-03-02,0.0,43.96155803895674
24,2021-03-02,1.0,33.663017091453725
25,2021-03-02,2.0,32.522092128127525
26,2021-03-02,4.0,17.162845658364027
27,2021-03-02,6.0,35.51350360731429
28,2021-03-02,7.0,50.04023953306171
29,2021-03-02,8.0,58.13715998055726
30,2021-03-02,9.0,62.94571587621956
31,2021-03-02,10.0,67.55630305678427
32,2021-03-02,11.0,74.65504440394534
33,2021-03-02,12.0,83.95957401353658
34,2021-03-02,13.0,86.0153228287353
35,2021-03-02,14.0,85.34639695982624
36,2021-03-02,15.0,87.74911199674874
37,2021-03-02,16.0,86.57797075585509
38,2021-03-02,17.0,86.37896010015167
39,2021-03-02,18.0,80.58368645081816
40,2021-03-02,19.0,73.02023959348048
41,2021-03-02,20.0,63.28017881067415
42,2021-03-02,21.0,60.707627455009884
43,2021-03-02,22.0,55.46354038613263
44,2021-03-02,23.0,47.80110917124623
45,2021-03-03,0.0,43.81787224124014
46,2021-03-03,2.0,32.4157955599599
47,2021-03-03,3.0,16.36108170478986
48,2021-03-03,4.0,17.106749894712436
49,2021-03-03,5.0,17.23448970997775
50,2021-03-03,6.0,35.397429784566555
51,2021-03-03,7.0,49.87668591813144
52,2021-03-03,8.0,57.9471420516799
53,2021-03-03,9.0,62.739981461836365
54,2021-03-03,10.0,67.335499206136
55,2021-03-03,11.0,74.41103872973235
56,2021-03-03,12.0,83.68515702500787
57,2021-03-03,13.0,85.73418674466964
58,2021-03-03,14.0,85.06744722108988
59,2021-03-03,15.0,87.46230912354295
60,2021-03-03,16.0,86.29499568973674
61,2021-03-03,17.0,86.09663548879641
62,2021-03-03,18.0,80.32030335460556
63,2021-03-03,19.0,72.78157718378725
64,2021-03-03,20.0,63.07335122362632
