,date,Hour,demand
0,2021-03-01,0.0,50.95520117818935
1,2021-03-01,1.0,39.01831246835758
2,2021-03-01,2.0,37.695882972478756
3,2021-03-01,3.0,19.02607696627776
4,2021-03-01,5.0,20.041751127039568
5,2021-03-01,6.0,41.16318441783773
6,2021-03-01,7.0,58.00091230052439
7,2021-03-01,8.0,67.38593477766955
8,2021-03-01,9.0,72.95946183107641
9,2021-03-01,10.0,78.30352623223045
10,2021-03-01,11.0,86.53157386275313
11,2021-03-01,12.0,97.31631851864097
12,2021-03-01,13.0,99.69910700756233
13,2021-03-01,14.0,98.92376478258133
14,2021-03-01,15.0,101.70871676203015
15,2021-03-01,16.0,100.35126401922862
16,2021-03-01,17.0,100.12059366880601
17,2021-03-01,18.0,93.4033764486436
18,2021-03-01,19.0,84.63669543441148
19,2021-03-01,20.0,73.347132943567
20,2021-03-01,21.0,70.36532616244848
21,2021-03-01,22.0,64.28698127408512
22,2021-03-01,23.0,55.40556893372667
23,2021-03-02,0.0,50.37315626080693
24,2021-03-02,1.0,38.572618801529956
25,2021-03-02,2.0,37.26529499356671
26,2021-03-02,4.0,19.665970561433717
27,2021-03-02,6.0,40.69299056677444
28,2021-03-02,7.0,57.338386485151624
29,2021-03-02,8.0,66.61620686111696
30,2021-03-02,9.0,72.12606930289793
31,2021-03-02,10.0,77.40909017069453
32,2021-03-02,11.0,85.54315145256993
33,2021-03-02,12.0,96.20470542984037
34,2021-03-02,13.0,98.56027609021615
35,2021-03-02,14.0,97.79379035075277
36,2021-03-02,15.0,100.54693071711179
37,2021-03-02,16.0,99.20498372154051
38,2021-03-02,17.0,98.97694824453511
39,2021-03-02,18.0,92.33645964189455
40,2021-03-02,19.0,83.66991761266621
41,2021-03-02,20.0,72.5093121726297
42,2021-03-02,21.0,69.56156561385232
43,2021-03-02,22.0,63.55265170930546
44,2021-03-02,23.0,54.77268889308502
45,2021-03-03,0.0,50.34851286810306
46,2021-03-03,2.0,37.24706418638843
47,2021-03-03,3.0,18.799546637374192
48,2021-03-03,4.0,19.656349638874506
49,2021-03-03,5.0,19.803127868936564
50,2021-03-03,6.0,40.67308287344588
51,2021-03-03,7.0,57.31033558502847
52,2021-03-03,8.0,66.58361709569466
53,2021-03-03,9.0,72.09078402037929
54,2021-03-03,10.0,77.37122034578124
55,2021-03-03,11.0,85.50130230848497
56,2021-03-03,12.0,96.15764047477595
57,2021-03-03,13.0,98.51205875048626
58,2021-03-03,14.0,97.74594798869911
59,2021-03-03,15.0,100.49774147262607
60,2021-03-03,16.0,99.15645098002688
61,2021-03-03,17.0,98.92852706180057
62,2021-03-03,18.0,92.29128709753265
63,2021-03-03,19.0,83.62898488598626
64,2021-03-03,20.0,72.47383940127294
65,2021-03-03,21.0,69.52753492954017
66,2021-03-03,22.0,63.521560686433354
67,2021-03-03,23.0,54.74589317524571
68,2021-03-04,0.0,51.6530471087796
69,2021-03-04,1.0,39.55267932286816
70,2021-03-04,2.0,38.212138780013696
71,2021-03-04,4.0,20.165647325934238
72,2021-03-04,6.0,41.7269259019636
73,2021-03-04,7.0,58.79525124303786
74,2021-03-04,8.0,68.30880426451883
75,2021-03-04,9.0,73.95866235152624
76,2021-03-04,10.0,79.37591523018459
77,2021-03-04,11.0,87.71664830641053
78,2021-03-04,12.0,98.64909309882118
79,2021-03-04,13.0,101.06451455183657
80,2021-03-04,14.0,100.27855379520406
81,2021-03-04,15.0,103.10164648179978
82,2021-03-04,16.0,101.7256030387237
83,2021-03-04,17.0,101.49177359243595
84,2021-03-04,18.0,94.68256217749862
85,2021-03-04,19.0,85.79581898062158
86,2021-03-04,20.0,74.35164272984255
87,2021-03-04,21.0,71.32899925924198
